51
0.09,0.06
0.96,0.02
0.04,0.38
0.90,0.03
0.49,0.20
0.63,0.14
0.97,0.01
0.68,0.31
0.11,0.72
0.80,0.07
0.88,0.05
0.77,0.07
0.93,0.07
0.01,0.05
0.47,0.26
0.18,0.28
0.59,0.23
0.27,0.13
0.16,0.41
0.95,0.04
0.89,0.05
0.69,0.28
0.05,0.14
0.47,0.33
0.63,0.21
0.78,0.08
0.10,0.61
0.30,0.48
0.30,0.45
0.44,0.07
0.39,0.52
0.82,0.00
0.21,0.23
0.79,0.08
0.01,0.50
0.80,0.12
0.85,0.01
0.48,0.21
0.71,0.25
0.28,0.57
0.45,0.22
0.42,0.52
0.71,0.23
0.24,0.69
0.27,0.42
0.88,0.06
0.05,0.79
0.38,0.03
0.66,0.23
0.70,0.23
0.35,0.04
0.61,0.05
0.78,0.04
0.52,0.03
0.20,0.72
0.98,0.01
0.35,0.42
0.68,0.32
0.43,0.53
0.29,0.29
0.05,0.84
0.14,0.37
0.62,0.10
0.57,0.01
0.66,0.15
0.74,0.00
0.16,0.44
0.44,0.22
0.79,0.06
0.10,0.49
0.28,0.13
0.70,0.11
0.60,0.18
0.17,0.33
0.15,0.33
0.61,0.29
0.40,0.17
0.70,0.14
0.92,0.01
0.51,0.25
0.59,0.20
0.40,0.46
0.16,0.81
0.27,0.60
0.22,0.23
0.21,0.12
0.83,0.13
0.13,0.76
0.18,0.62
0.83,0.03
0.11,0.16
0.87,0.03
0.83,0.00
0.62,0.33
0.82,0.17
0.46,0.33
0.77,0.14
0.95,0.04
0.77,0.21
0.21,0.51
0.18,0.28
0.17,0.71
0.18,0.37
0.90,0.06
0.16,0.70
0.28,0.11
0.35,0.22
0.40,0.25
0.62,0.05
0.94,0.01
0.34,0.26
0.01,0.24
0.82,0.10
0.38,0.14
0.79,0.07
0.10,0.22
0.55,0.08
0.99,0.00
0.00,0.01
0.10,0.34
0.10,0.87
0.72,0.28
0.70,0.09
0.26,0.32
0.19,0.43
0.16,0.54
1.00,0.00
0.30,0.55
0.34,0.62
0.04,0.56
0.07,0.62
0.86,0.11
0.73,0.01
0.60,0.07
0.35,0.42
0.42,0.36
0.04,0.54
0.05,0.36
0.67,0.00
0.55,0.24
0.34,0.63
0.04,0.25
0.19,0.37
0.25,0.37
0.89,0.02
0.43,0.04
0.98,0.01
0.30,0.30
0.10,0.82
0.27,0.49
